1606383378 1 0
1606392434 1 1
1606394168 2 1
1606405697 3 1
1606412903 3 2
1606581463 3 3
1606602065 4 3
1606602164 5 3
1606668257 6 3
1606669864 6 4
1606671444 7 4
1606671472 8 4
1606674563 8 5
1606675016 9 5
1606753323 9 6
1606756630 9 7
1606757817 10 7
1606758134 11 7
1606763912 11 8
1606771283 12 8
1606771305 13 8
1606821566 14 8
1606822103 15 8
1606824989 16 8
1606839927 16 9
1606840420 16 10
1606841166 16 11
1606842986 17 11
1606847685 18 11
1606852829 19 11
1606861931 19 12
1606894782 20 12
1606895093 21 12
1606899219 22 12
1606901217 23 12
1606901448 23 13
1606902051 23 14
1606902097 23 15
1606902107 23 16
1606902765 23 17
1606906623 24 17
1606906918 25 17
1606907670 25 18
1606909217 26 18
1606910755 26 19
1606910759 26 20
1606912742 26 21
1606923543 26 22
1606925054 26 23
1606925207 27 23
